id,itemTime,trial,RT,number_chosen,number_not_chosen,quantifier,clicked_left,language,comments,engagement,difficulty
debugJB5XOD:debugPC3T52,1474876212164,47,153,109,367,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212317,48,153,109,186,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212481,49,163,430,109,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212624,50,142,430,421,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876213831,1,296,66,414,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214004,2,172,277,66,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214157,3,152,312,277,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214310,4,152,335,312,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214453,5,142,340,335,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214587,6,133,340,151,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214729,7,142,255,340,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214884,8,154,273,255,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215037,9,153,274,273,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215190,10,153,289,274,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215344,11,154,289,289,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215497,12,153,287,289,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215660,13,163,287,87,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215824,14,163,287,258,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215977,15,152,305,287,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216162,16,183,305,131,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216336,17,174,308,305,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216509,18,173,301,308,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216693,19,183,301,307,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216888,20,195,301,287,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217062,21,173,301,301,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217224,22,161,301,309,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217408,23,183,313,301,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217603,24,194,403,313,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217777,25,174,403,391,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217971,26,194,403,417,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218156,27,185,355,403,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218329,28,172,340,355,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218514,29,184,340,169,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218707,30,193,340,322,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218892,31,184,378,340,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219055,32,163,378,378,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219218,33,162,389,378,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219382,34,164,155,389,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219545,35,162,155,392,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219863,36,317,155,171,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220037,37,174,170,155,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220210,38,173,170,155,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220374,39,164,170,153,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220537,40,163,170,174,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220701,41,164,170,322,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220875,42,174,169,170,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221038,43,162,150,169,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221222,44,183,135,150,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221385,45,162,135,172,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221560,46,174,135,153,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221713,47,153,135,132,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221876,48,162,135,126,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876222050,49,174,135,146,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876222224,50,173,135,122,Almost all,right,german,asdf,9,5
